user_id,username,likes_count
1505748105000,"2017-09-18",
1505748435000,"2017-09-18",
1505749086000,"2017-09-18",
1505750394000,"2017-09-18",
1505750761000,"2017-09-18",
1505751195000,"2017-09-18",
1505838162000,"2017-09-19",
1505838623000,"2017-09-19",
1505839133000,"2017-09-19",
1505839707000,"2017-09-19",
1505840904000,"2017-09-19",
1505841305000,"2017-09-19",
1505841696000,"2017-09-19",
1505841884000,"2017-09-19",
1505845135000,"2017-09-19",
1505845397000,"2017-09-19",
1505845499000,"2017-09-19",
1505845672000,"2017-09-19",
1505845996000,"2017-09-19",
1505846132000,"2017-09-19",
1507212395000,"2017-10-05",
1507285986000,"2017-10-06",
1507917898000,"2017-10-13",
1507922491000,"2017-10-13",
1507925465000,"2017-10-13",
1509189547000,"2017-10-28",
1509884620000,"2017-11-05",
1510490086000,"2017-11-12",
1510555796000,"2017-11-13",
1510556666000,"2017-11-13",
1510563993000,"2017-11-13",
1510578797000,"2017-11-13",
1510909626000,"2017-11-17",
1510911115000,"2017-11-17",
1511183013000,"2017-11-20",
1511679012000,"2017-11-26",
1512903763000,"2017-12-10",
1513549378000,"2017-12-17",
1513870728000,"2017-12-21",
1514795391000,"2018-01-01",
1514797467000,"2018-01-01",
1515220028000,"2018-01-06",
1515226373000,"2018-01-06",
1515917542000,"2018-01-14",
1516791090000,"2018-01-24",
1519913495000,"2018-03-01",
1528872469000,"2018-06-13",
1530438035000,"2018-07-01",
1530438184000,"2018-07-01",
1530438241000,"2018-07-01",
1530613553000,"2018-07-03",
1530699921000,"2018-07-04",
1530778741000,"2018-07-05",
1531661356000,"2018-07-15",
1531661509000,"2018-07-15",
1531902026000,"2018-07-18",
1531902330000,"2018-07-18",
1532380176000,"2018-07-23",
1533487508000,"2018-08-05",
1535454763000,"2018-08-28",
1535462570000,"2018-08-28",
1535471716000,"2018-08-28",
1535479234000,"2018-08-28",
1535525016000,"2018-08-29",
1537475639000,"2018-09-20",
1537604292000,"2018-09-22",
1537611789000,"2018-09-22",
1537681883000,"2018-09-23",
1537795554000,"2018-09-24",
1537796603000,"2018-09-24",
1537798359000,"2018-09-24",
1537799671000,"2018-09-24",
1537800114000,"2018-09-24",
1537844214000,"2018-09-25",
1537879538000,"2018-09-25",
1537881706000,"2018-09-25",
1537925123000,"2018-09-26",
1538558662000,"2018-10-03",
1538562911000,"2018-10-03",
1541506676000,"2018-11-06",
1541671484000,"2018-11-08",
1542447453000,"2018-11-17",
1542555118000,"2018-11-18",
1543430809000,"2018-11-28",
1545306755000,"2018-12-20",
1546096473000,"2018-12-29",
1546283811000,"2018-12-31",
1546626202000,"2019-01-04",
1546640090000,"2019-01-04",
1546789691000,"2019-01-06",
1546968688000,"2019-01-08",
1547034005000,"2019-01-09",
1547536797000,"2019-01-15",
1548043201000,"2019-01-21",
1548736187000,"2019-01-29",
1548780740000,"2019-01-29",
1549463839000,"2019-02-06",
1550060742000,"2019-02-13",
1550130531000,"2019-02-14",
1550482732000,"2019-02-18",
1550521645000,"2019-02-18",
1550906730000,"2019-02-23",
1551169123000,"2019-02-26",
1551249581000,"2019-02-27",
1551259379000,"2019-02-27",
1551278517000,"2019-02-27",
1551350049000,"2019-02-28",
1551638399000,"2019-03-03",
1551977392000,"2019-03-07",
1552032592000,"2019-03-08",
1552302555000,"2019-03-11",
1552302558000,"2019-03-11",
1552318707000,"2019-03-11",
1552318882000,"2019-03-11",
1552326162000,"2019-03-11",
1552333210000,"2019-03-11",
1552333492000,"2019-03-11",
1552401009000,"2019-03-12",
1552428880000,"2019-03-12",
1552465569000,"2019-03-13",
1552588987000,"2019-03-14",
1552708094000,"2019-03-16",
1552800831000,"2019-03-17",
1552824837000,"2019-03-17",
1552938794000,"2019-03-18",
1553031753000,"2019-03-19",
1553060189000,"2019-03-20",
1553103217000,"2019-03-20",
1553118895000,"2019-03-20",
1553320859000,"2019-03-23",
1553426419000,"2019-03-24",
1553448901000,"2019-03-24",
1553503833000,"2019-03-25",
1553758382000,"2019-03-28",
1553852341000,"2019-03-29",
1554218028000,"2019-04-02",
1554233774000,"2019-04-02",
1554236215000,"2019-04-02",
1554308763000,"2019-04-03",
1554497730000,"2019-04-05",
1554584734000,"2019-04-06",
1554666623000,"2019-04-07",
1554721221000,"2019-04-08",
1554921523000,"2019-04-10",
1554980448000,"2019-04-11",
1556088579000,"2019-04-24",
1556089493000,"2019-04-24",
1556103185000,"2019-04-24",
1556118966000,"2019-04-24",
1556258188000,"2019-04-26",
